,location,floor,floors_count,rooms_count,total_meters,price,year_of_construction,living_meters,kitchen_meters,district,underground,price_per_meter
0,Москва,5,7,1,34.6,9000000,1978,18.0,8.0,Северное Измайлово,Щёлковская,260115
1,Москва,14,45,1,41.3,12800000,2026,20.0,11.0,Нижегородский,Нижегородская,309927
2,Москва,10,12,1,34.4,19372498,2026,11.8,11.7,Преображенское,Преображенская площадь,563154
6,Москва,13,17,1,37.6,11000000,2018,17.6,15.0,Москва,Бачуринская,292553
8,Москва,9,28,1,34.7,14500000,2023,9.1,14.2,Богородское,Бульвар Рокоссовского,417867
9,Москва,2,18,1,34.8,15834000,2028,11.7,13.0,Покровское-Стрешнево,Тушинская,455000
11,Москва,5,9,1,34.1,10990000,1970,17.1,8.1,Чертаново Центральное,Пражская,322287
12,Москва,5,17,1,33.0,7582202,2025,11.8,10.6,Москва,Бунинская аллея,229763
14,Москва,2,16,1,37.5,20328519,2025,13.5,10.7,Сокол,Октябрьское поле,542093
16,Москва,5,17,1,50.2,34900000,2024,16.1,16.8,Гагаринский,Ленинский проспект,695219
17,Москва,4,17,1,40.0,9700000,1987,19.0,7.0,Солнцево,Говорово,242500
18,Москва,2,19,1,39.8,9237580,2026,18.4,10.8,Москва,Москва,232100
20,Москва,2,10,1,36.0,9870000,2021,24.0,12.0,Москва,Филатов Луг,274166
23,Москва,14,16,1,34.6,14400000,1978,19.5,10.0,Хорошевский,Беговая,416184
24,Москва,12,23,1,32.11,6713382,2026,11.2,10.6,Москва,Летово,209074
25,Москва,9,9,1,36.46,6715221,2025,24.2,3.9,Москва,Силикатная,184180
26,Москва,1,9,1,36.23,6747548,2025,12.8,8.3,Москва,Силикатная,186242
27,Москва,12,17,1,36.71,6681423,2025,10.8,9.8,Москва,Филатов Луг,182005
28,Москва,2,9,1,35.39,6684490,2026,16.3,10.8,Москва,Рассказовка,188880
30,Москва,14,14,1,32.25,6910594,2026,10.3,10.7,Москва,Рассказовка,214281
31,Москва,10,23,1,27.7,6923466,2026,10.8,11.5,Москва,Филатов Луг,249944
33,Москва,14,14,1,35.83,7236227,2025,10.8,9.8,Молжаниновский,Новоподрезково,201960
34,Москва,9,9,1,34.27,7233334,2026,15.3,11.5,Москва,Рассказовка,211068
36,Москва,14,14,1,40.0,7380000,2009,17.0,8.5,Южное Бутово,Щербинка,184500
45,Москва,2,27,1,45.7,21798900,2026,26.8,7.8,Басманный,Бауманская,476999
46,Москва,3,20,1,59.0,61800000,2023,39.0,15.0,Пресненский,Улица 1905 года,1047457
47,Москва,10,10,1,38.5,11280000,1994,20.7,8.4,Выхино-Жулебино,Лермонтовский проспект,292987
48,Москва,5,21,1,65.9,82172522,2023,18.8,24.9,Пресненский,Улица 1905 года,1246927
49,Москва,75,95,1,57.0,47000000,2017,37.0,10.0,Пресненский,Деловой центр,824561
50,Москва,21,30,1,36.5,13000000,2024,9.7,19.2,Южнопортовый,Угрешская,356164
54,Москва,2,16,1,45.0,23274675,2024,16.4,14.6,Филевский парк,Фили,517215
55,Москва,10,22,1,38.2,12600000,2005,19.0,10.0,Солнцево,Солнцево,329842
56,Москва,7,20,1,43.09,20252300,2024,10.6,18.7,Даниловский,Тульская,469999
58,Москва,15,28,1,40.0,30500000,2022,16.0,18.0,Раменки,Раменки,762500
59,Москва,2,44,1,48.1,25000000,2018,30.0,3.0,Пресненский,Улица 1905 года,519750
62,Москва,3,17,1,35.4,14990000,2022,24.0,9.0,Москва,Потапово,423446
65,Москва,2,12,1,38.7,15000000,1985,20.7,8.3,Раменки,Минская,387596
66,Москва,2,14,1,72.6,139410000,2024,14.2,31.0,Якиманка,Полянка,1920247
67,Москва,18,22,1,43.0,19200000,2022,22.0,12.0,Щукино,Стрешнево,446511
68,Москва,18,22,1,43.0,19500000,2022,24.0,14.0,Щукино,Стрешнево,453488
70,Москва,4,5,1,14.4,3450000,1930,10.0,4.0,Перово,Авиамоторная,239583
72,Москва,1,9,1,37.7,7700000,1966,19.0,6.0,Гольяново,Черкизовская,204244
73,Москва,4,6,1,50.2,57228000,2024,12.3,23.9,Замоскворечье,Новокузнецкая,1140000
74,Москва,3,5,1,30.0,8390000,2021,22.0,8.0,Москва,Филатов Луг,279666
76,Москва,11,12,1,34.8,9350000,1966,19.9,9.7,Северное Измайлово,Щёлковская,268678
78,Москва,2,9,1,31.8,11990000,1962,21.5,5.2,Кунцево,Молодёжная,377044
79,Москва,7,35,1,39.22,18847239,2027,24.1,6.3,Котловка,Профсоюзная,480551
81,Москва,15,67,1,47.5,47500000,2025,34.5,8.0,Пресненский,Москва-Сити,1000000
82,Москва,15,17,1,37.8,9000000,2015,19.0,7.2,Москва,Рассказовка,238095
83,Москва,3,7,1,78.45,196125000,2026,19.1,29.7,Арбат,Арбатская,2500000
84,Москва,16,17,1,30.5,6100000,2022,12.3,7.0,Москва,Ватутинки,200000
86,Москва,22,32,1,37.35,17780000,2023,27.35,10.0,Нижегородский,Нижегородская,476037
87,Москва,5,12,1,33.5,14500000,1964,17.0,4.0,Беговой,Динамо,432835
89,Москва,8,22,1,40.0,13290000,2000,30.0,10.0,Марьино,Люблино,332250
91,Москва,6,41,1,36.7,22431040,2027,14.2,13.4,Даниловский,Тульская,611200
93,Москва,10,34,1,64.4,51000000,2023,41.7,10.0,Дорогомилово,Поклонная,791925
95,Москва,21,24,1,40.8,30000000,2022,25.8,10.0,Хорошевский,Полежаевская,735294
96,Москва,24,49,1,43.9,27800000,2021,17.2,18.0,Раменки,Аминьевская,633257
97,Москва,23,26,1,35.67,21910000,2024,11.0,15.8,Марфино,Бутырская,614241
98,Москва,33,41,1,46.0,21000000,2024,18.0,23.0,Хорошево-Мневники,Шелепиха,456521
99,Москва,7,48,1,55.5,33000000,2024,27.0,7.7,Ростокино,Ботанический сад,594594
102,Москва,31,36,1,49.3,24990000,2019,25.3,19.0,Хорошево-Мневники,Шелепиха,506896
105,Москва,5,24,1,39.1,19800000,2005,27.1,12.0,Фили-Давыдково,Славянский бульвар,506393
107,Москва,3,17,1,38.0,13900000,2006,19.0,7.3,Свиблово,Свиблово,365789
108,Москва,12,28,1,45.2,20500000,2024,13.7,16.0,Даниловский,ЗИЛ,453539
109,Москва,9,21,1,37.7,19905600,2027,12.5,13.4,Лефортово,Площадь Ильича,528000
110,Москва,4,6,1,31.4,28500000,2023,15.0,6.3,Хамовники,Парк Культуры,907643
111,Москва,18,35,1,48.5,21700000,2022,25.5,18.0,Раменки,Аминьевская,447422
112,Москва,7,13,1,58.8,37642247,2024,45.1,8.7,Даниловский,Тульская,640174
113,Москва,5,21,1,48.4,21250000,2024,15.8,15.5,Щукино,Щукинская,439049
114,Москва,21,22,1,39.0,11300000,1985,19.1,10.0,Братеево,Алма-Атинская,289743
116,Москва,3,14,1,43.5,12000000,1989,20.0,9.0,Марьино,Марьино,275862
117,Москва,2,9,1,32.9,8900000,1971,21.0,6.0,Богородское,Преображенская площадь,270516
118,Москва,6,13,1,85.04,130383328,2025,45.8,15.8,Мещанский,Цветной бульвар,1533200
120,Москва,15,15,1,40.6,11890000,2018,20.0,10.0,Москва,Прокшино,292857
122,Москва,4,7,1,33.56,5600000,2024,12.5,10.5,Москва,Рассказовка,166865
123,Москва,15,22,1,37.5,22758750,2025,14.1,12.9,Хорошево-Мневники,Мнёвники,606900
124,Москва,2,9,1,32.2,8100000,1970,20.0,6.0,Чертаново Центральное,Южная,251552
125,Москва,6,50,1,49.3,25621210,2027,14.1,17.9,Раменки,Мичуринский проспект,519700
126,Москва,13,16,1,22.17,7731410,2027,10.0,5.1,Бирюлево Восточное,Орехово,348732
128,Москва,10,22,1,36.28,7726475,2026,12.0,13.5,Москва,Летово,212967
129,Москва,4,17,1,36.2,7733080,2026,10.6,18.2,Южное Бутово,Щербинка,213620
130,Москва,1,9,1,44.48,7728000,2025,16.4,19.5,Москва,Силикатная,173741
131,Москва,1,16,1,34.54,7664358,2025,16.3,10.8,Молжаниновский,Новоподрезково,221898
132,Москва,1,14,1,39.2,7757680,2026,10.9,17.8,Москва,Рассказовка,197900
133,Москва,1,12,1,43.31,7758553,2025,11.4,16.6,Москва,Силикатная,179139
134,Москва,6,9,1,36.15,7831355,2026,11.3,10.2,Москва,Рассказовка,216634
135,Москва,8,10,1,35.0,7965753,2026,12.5,12.4,Москва,Толстопальцево,227592
136,Москва,3,9,1,33.9,7903030,2026,12.9,9.9,Москва,Толстопальцево,233127
137,Москва,9,9,1,43.65,7956216,2025,12.3,22.4,Москва,Силикатная,182272
138,Москва,6,22,1,26.3,7942600,2025,6.6,10.4,Москва,Прокшино,302000
139,Москва,11,16,1,42.2,8110408,2024,13.9,13.1,Москва,Филатов Луг,192189
